Beta,degree,betweenness,closeness
1.0,0.8854482898198746,0.2665452337583485,0.3993118801861971
1.0263157894736843,0.7035013155231734,0.011131349929164137,0.8263509411050395
1.0526315789473684,0.08824124671119207,0.009917020845982595,0.990487755515078
1.0789473684210527,0.05019226877150374,0.009917020845982595,1.0
1.1052631578947367,0.02792956891317547,0.009917020845982595,1.0
1.131578947368421,0.02327464076097956,0.009917020845982595,1.0
1.1578947368421053,0.020036429872495445,0.009917020845982595,1.0
1.1842105263157894,0.01700060716454159,0.009917020845982595,1.0
1.2105263157894737,0.014774337178708763,0.009917020845982595,1.0
1.236842105263158,0.01436956081764825,0.009917020845982595,1.0
1.263157894736842,0.01436956081764825,0.009917020845982595,1.0
1.2894736842105263,0.01436956081764825,0.009917020845982595,1.0
1.3157894736842106,0.014167172637117992,0.009917020845982595,1.0
1.3421052631578947,0.014167172637117992,0.009917020845982595,1.0
1.368421052631579,0.013964784456587736,0.009917020845982595,1.0
1.3947368421052633,0.013964784456587736,0.009917020845982595,1.0
1.4210526315789473,0.013964784456587736,0.009917020845982595,1.0
1.4473684210526314,0.013964784456587736,0.009917020845982595,1.0
1.4736842105263157,0.013964784456587736,0.009917020845982595,1.0
1.5,0.013762396276057479,0.009917020845982595,1.0
