Alpha,degree,betweenness,closeness
0.0,1.0,0.010321797207043109,1.0
0.06315789473684211,1.0,0.009917020845982595,1.0
0.12631578947368421,0.9957498482088646,0.009917020845982595,1.0
0.18947368421052632,0.9400930985630439,0.009917020845982595,1.0
0.25263157894736843,0.7897186804290629,0.009917020845982595,0.9973689536531066
0.3157894736842105,0.07366929771301356,0.009917020845982595,0.9621534102408419
0.37894736842105264,0.02792956891317547,0.009917020845982595,0.8423396073669298
0.4421052631578948,0.01639344262295082,0.009917020845982595,0.6180935033394049
0.5052631578947369,0.012345679012345678,0.009917020845982595,0.39040680024286584
0.5684210526315789,0.010321797207043109,0.009917020845982595,0.01153612629022465
0.631578947368421,0.010321797207043109,0.009917020845982595,0.011131349929164137
0.6947368421052632,0.010119409026512852,0.009917020845982595,0.01092896174863388
0.7578947368421053,0.010119409026512852,0.009917020845982595,0.009917020845982595
0.8210526315789474,0.010119409026512852,0.009917020845982595,0.009917020845982595
0.8842105263157896,0.009917020845982595,0.009917020845982595,0.009917020845982595
0.9473684210526316,0.009917020845982595,0.009917020845982595,0.009917020845982595
1.0105263157894737,0.009917020845982595,0.009917020845982595,0.009917020845982595
1.0736842105263158,0.009917020845982595,0.009917020845982595,0.009917020845982595
1.1368421052631579,0.009917020845982595,0.009917020845982595,0.009917020845982595
1.2,0.009917020845982595,0.009917020845982595,0.009917020845982595
