Beta,degree,betweenness,closeness
1.0,0.005291005291005291,0.5185185185185185,0.005291005291005291
1.0263157894736843,0.005291005291005291,0.005291005291005291,0.005291005291005291
1.0526315789473684,0.005291005291005291,0.005291005291005291,0.8518518518518519
1.0789473684210527,0.005291005291005291,0.005291005291005291,1.0
1.1052631578947367,0.005291005291005291,0.005291005291005291,1.0
1.131578947368421,0.005291005291005291,0.005291005291005291,1.0
1.1578947368421053,0.005291005291005291,0.005291005291005291,1.0
1.1842105263157894,0.005291005291005291,0.005291005291005291,1.0
1.2105263157894737,0.005291005291005291,0.005291005291005291,1.0
1.236842105263158,0.005291005291005291,0.005291005291005291,1.0
1.263157894736842,0.005291005291005291,0.005291005291005291,1.0
1.2894736842105263,0.005291005291005291,0.005291005291005291,1.0
1.3157894736842106,0.005291005291005291,0.005291005291005291,1.0
1.3421052631578947,0.005291005291005291,0.005291005291005291,1.0
1.368421052631579,0.005291005291005291,0.005291005291005291,1.0
1.3947368421052633,0.005291005291005291,0.005291005291005291,1.0
1.4210526315789473,0.005291005291005291,0.005291005291005291,1.0
1.4473684210526314,0.005291005291005291,0.005291005291005291,1.0
1.4736842105263157,0.005291005291005291,0.005291005291005291,1.0
1.5,0.005291005291005291,0.005291005291005291,1.0
