alpha,CF_None,I_None,CF_localized_capacity_boost,I_localized_capacity_boost,CF_dynamic_load_redistribution,I_dynamic_load_redistribution,CF_controlled_failure_isolation,I_controlled_failure_isolation,CF_prevent_cascading_failure,I_prevent_cascading_failure
0.0,1.5959304752604063e-05,0.2781117182756527,1.8913648696405887e-05,0.2602206031167779,8.828774972141485e-05,0.028091479457599672,7.910357568199542e-05,0.04327059299736895,0.00020344228563718542,0.009866423800850028
0.024999999999999998,1.9506338759623305e-05,0.266160696215341,2.300341443977261e-05,0.2516798218984011,0.00010043982748152822,0.022809147945759972,0.00019493880670518686,0.010675976522971056,0.00020344228563718542,0.009866423800850028
0.049999999999999996,2.0196616342451137e-05,0.26237603723942526,2.469281165819148e-05,0.24037644201578628,0.00010220960910686859,0.023183566079740946,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.075,2.3055608643745486e-05,0.23801861971260885,2.7893131208485183e-05,0.2112426634284558,0.00010836833953150534,0.020957296093908114,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.09999999999999999,2.4324739508458094e-05,0.22554138838291843,3.079347036736878e-05,0.20233758348512448,0.00011287279426167337,0.019965594009309855,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.12499999999999999,2.7751344349365485e-05,0.2152803076300344,3.4595262403734304e-05,0.19620522161505766,0.00011851605199701982,0.018761384335154823,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.15,3.804592305421213e-05,0.20432098765432097,4.5418914604191784e-05,0.18558996154624569,0.00012533113001194705,0.017577413479052825,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.175,4.3095563409373504e-05,0.1923902044120623,4.903712012458937e-05,0.1714430277271807,0.00013025968443066866,0.01663630843958713,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.19999999999999998,5.2127681578626957e-05,0.1800040477636105,5.684523443835167e-05,0.16406597854685284,0.000134675392922169,0.01602914389799636,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.22499999999999998,6.781648507977117e-05,0.1670815624367536,6.899530821325167e-05,0.1547662416514875,0.00014241488188594965,0.014946367132159483,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.24999999999999997,7.387213128639384e-05,0.16222424610402747,7.522688977181076e-05,0.14483910139647843,0.00014575665918281776,0.014551710180125483,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.27499999999999997,7.550901857877263e-05,0.14859340214531463,7.703628730425078e-05,0.13682452944748025,0.00014834381857265505,0.01426836672738312,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.3,7.55291987416065e-05,0.138990082979154,7.766506660000639e-05,0.1245901639344262,0.00015346104976671026,0.01373203804897794,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.32499999999999996,9.373521392149763e-05,0.11782027929568913,9.59238112715967e-05,0.10543412264723737,0.00016967595449027929,0.012052216150576804,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.35,0.0001007143722658582,0.10797409431289215,0.00010812371400501987,0.09466707144302772,0.00017239349266103205,0.011809350333940495,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.37499999999999994,0.00013396502705925907,0.030145719489981782,0.00013975833950035293,0.026654523375834856,0.00017562041750456583,0.011556365108277674,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.39999999999999997,0.0001421404310116275,0.028314106456182958,0.00014253087268069272,0.0262193887876948,0.00017732175825976634,0.01143493219995952,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.425,0.00014602525528950076,0.024013357619914997,0.0001460497871901711,0.02387168589354382,0.00017872945930484148,0.011343857518720905,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.44999999999999996,0.00014959114809040495,0.02014774337178709,0.00014959114809040495,0.02014774337178709,0.00018032405881598495,0.011242663428455776,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.475,0.00015770125255345333,0.016049382716049384,0.00015770125255345333,0.016049382716049384,0.000183161880454602,0.011030155838899007,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.49999999999999994,0.00016694916976885675,0.013570127504553737,0.00016696004798925733,0.013560008095527223,0.00018600519631001294,0.010848006476421777,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.5249999999999999,0.00017253177205938985,0.012720097146326654,0.00017253177205938985,0.012720097146326654,0.00018762258562386743,0.010746812386156648,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.5499999999999999,0.0001742979090467214,0.01253794778384942,0.0001742979090467214,0.01253794778384942,0.00018845051300835148,0.010696215341024084,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.575,0.0001757334516189661,0.012082574377656344,0.0001757334516189661,0.012082574377656344,0.00018845051300835148,0.010696215341024084,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
0.6,0.00017639534278908315,0.012011738514470753,0.00017639534278908315,0.012011738514470753,0.00018845051300835148,0.010696215341024084,0.00020344228563718542,0.009866423800850028,0.00020344228563718542,0.009866423800850028
