Alpha,degree_mean,degree_std
0.0,0.7283950617283951,0.0
0.06315789473684211,0.5185185185185185,0.0
0.12631578947368421,0.4120623355596033,0.0
0.18947368421052632,0.32908318154219796,0.0
0.25263157894736843,0.26168791742562236,0.0
0.3157894736842105,0.19530459421169805,0.0
0.37894736842105264,0.1309451528030763,0.0
0.4421052631578948,0.07103825136612021,0.0
0.5052631578947369,0.03885853066180935,0.0
0.5684210526315789,0.026108075288403157,0.0
0.631578947368421,0.02044120623355596,0.0
0.6947368421052632,0.01639344262295082,0.0
0.7578947368421053,0.012750455373406194,0.0
0.8210526315789474,0.012750455373406194,0.0
0.8842105263157896,0.009917020845982595,0.0
0.9473684210526316,0.009917020845982595,0.0
1.0105263157894737,0.009917020845982595,0.0
1.0736842105263158,0.009917020845982595,0.0
1.1368421052631579,0.009917020845982595,0.0
1.2,0.009917020845982595,0.0
