Alpha,degree_mean,degree_std
0.0,0.9981785063752276,0.0
0.06315789473684211,0.9906901436956081,0.0
0.12631578947368421,0.9613438575187209,0.0
0.18947368421052632,0.9678202792956891,0.0
0.25263157894736843,0.9253187613843351,0.0
0.3157894736842105,0.8826148552924509,0.0
0.37894736842105264,0.8210888484112527,0.0
0.4421052631578948,0.8051001821493625,0.0
0.5052631578947369,0.7832422586520947,0.0
0.5684210526315789,0.7435741752681644,0.0
0.631578947368421,0.009917020845982595,0.0
0.6947368421052632,0.009917020845982595,0.0
0.7578947368421053,0.009917020845982595,0.0
0.8210526315789474,0.009917020845982595,0.0
0.8842105263157896,0.009917020845982595,0.0
0.9473684210526316,0.009917020845982595,0.0
1.0105263157894737,0.009917020845982595,0.0
1.0736842105263158,0.009917020845982595,0.0
1.1368421052631579,0.009917020845982595,0.0
1.2,0.009917020845982595,0.0
