Alpha,degree_mean,degree_std
0.0,0.04468056398839641,0.01280905243988946
0.06315789473684211,0.033913512784186736,0.009808349766935362
0.12631578947368421,0.02325440194292653,0.0067047401726829615
0.18947368421052632,0.018882817243472984,0.003689277330183104
0.25263157894736843,0.01664305471227147,0.002902230513413136
0.3157894736842105,0.013094515280307629,0.0019333286444746028
0.37894736842105264,0.012284962558186601,0.0015423959332690632
0.4421052631578948,0.011326991837010053,0.0010715748612055466
0.5052631578947369,0.010665857113944547,0.0006726120081201918
0.5684210526315789,0.010503946569520342,0.0005532425862038431
0.631578947368421,0.010132901571881537,0.00041146733271205284
0.6947368421052632,0.010065438845038117,0.00030960959168470234
0.7578947368421053,0.00997773730014167,0.0002611919047675022
0.8210526315789474,0.009950752209404303,0.00011983272615194488
0.8842105263157896,0.009950752209404303,0.00011983272615194488
0.9473684210526316,0.009923767118666936,3.695085728294986e-05
1.0105263157894737,0.009923767118666936,3.695085728294986e-05
1.0736842105263158,0.009923767118666936,3.695085728294986e-05
1.1368421052631579,0.009923767118666936,3.695085728294986e-05
1.2,0.009923767118666936,3.695085728294986e-05
