Alpha,degree_mean,degree_std
0.0,0.9944208324900493,0.008833046007223946
0.06315789473684211,0.986757066720637,0.011831122988320621
0.12631578947368421,0.9862510962693112,0.011598819119787634
0.18947368421052632,0.9661741887607096,0.01563819748262119
0.25263157894736843,0.9415098158267554,0.022239975103818508
0.3157894736842105,0.543783309721379,0.44383289645348306
0.37894736842105264,0.2615125143358294,0.3907196554632796
0.4421052631578948,0.16085137961276394,0.3070702242247916
0.5052631578947369,0.056317884368886184,0.1757135063831663
0.5684210526315789,0.04714969979086554,0.14124739656418897
0.631578947368421,0.031545571071982734,0.11777691864709591
0.6947368421052632,0.028759360453349526,0.10274529865221442
0.7578947368421053,0.009917020845982593,1.7643790169011568e-18
0.8210526315789474,0.009917020845982593,1.7643790169011568e-18
0.8842105263157896,0.009917020845982593,1.7643790169011568e-18
0.9473684210526316,0.009917020845982593,1.7643790169011568e-18
1.0105263157894737,0.009917020845982593,1.7643790169011568e-18
1.0736842105263158,0.009917020845982593,1.7643790169011568e-18
1.1368421052631579,0.009917020845982593,1.7643790169011568e-18
1.2,0.009917020845982593,1.7643790169011568e-18
