Alpha,degree,betweenness,closeness
0.0,0.6975999999999999,0.5759999999999998,0.6975999999999999
0.13333333333333333,0.6975999999999999,0.42239999999999994,0.6975999999999999
0.26666666666666666,0.6111999999999999,0.26080000000000003,0.6975999999999999
0.4,0.40959999999999996,0.17280000000000004,0.43519999999999986
0.5333333333333333,0.04000000000000001,0.09920000000000001,0.04320000000000002
0.6666666666666666,0.04000000000000001,0.05120000000000001,0.04320000000000002
0.8,0.04000000000000001,0.04000000000000001,0.04000000000000001
0.9333333333333333,0.04000000000000001,0.04000000000000001,0.04000000000000001
1.0666666666666667,0.04000000000000001,0.04000000000000001,0.04000000000000001
1.2,0.04000000000000001,0.04000000000000001,0.04000000000000001
