Alpha,degree,betweenness,closeness
0.0,1.0,0.008818342151675485,1.0
0.06315789473684211,0.9005291005291005,0.006349206349206349,1.0
0.12631578947368421,0.7015873015873016,0.005467372134038801,1.0
0.18947368421052632,0.5456790123456787,0.005291005291005291,1.0
0.25263157894736843,0.36878306878306877,0.005291005291005291,1.0
0.3157894736842105,0.06049382716049387,0.005291005291005291,0.9056437389770721
0.37894736842105264,0.024162257495590853,0.005291005291005291,0.48730158730158746
0.4421052631578948,0.009876543209876543,0.005291005291005291,0.29065255731922407
0.5052631578947369,0.005291005291005291,0.005291005291005291,0.18906525573192243
0.5684210526315789,0.005291005291005291,0.005291005291005291,0.04373897707231041
0.631578947368421,0.005291005291005291,0.005291005291005291,0.033156966490299825
0.6947368421052632,0.005291005291005291,0.005291005291005291,0.015873015873015872
0.7578947368421053,0.005291005291005291,0.005291005291005291,0.01128747795414462
0.8210526315789474,0.005291005291005291,0.005291005291005291,0.01111111111111111
0.8842105263157896,0.005291005291005291,0.005291005291005291,0.008818342151675485
0.9473684210526316,0.005291005291005291,0.005291005291005291,0.008818342151675485
1.0105263157894737,0.005291005291005291,0.005291005291005291,0.008818342151675485
1.0736842105263158,0.005291005291005291,0.005291005291005291,0.008289241622574956
1.1368421052631579,0.005291005291005291,0.005291005291005291,0.00582010582010582
1.2,0.005291005291005291,0.005291005291005291,0.005291005291005291
