Alpha,degree,betweenness,closeness
0.0,0.6560000000000001,0.33866666666666667,0.6560000000000001
0.06315789473684211,0.6560000000000001,0.14133333333333337,0.6560000000000001
0.12631578947368421,0.6560000000000001,0.13600000000000004,0.6560000000000001
0.18947368421052632,0.5839999999999999,0.0866666666666667,0.6560000000000001
0.25263157894736843,0.4399999999999997,0.06133333333333335,0.6560000000000001
0.3157894736842105,0.22400000000000003,0.06000000000000002,0.6560000000000001
0.37894736842105264,0.040000000000000015,0.06000000000000002,0.6560000000000001
0.4421052631578948,0.040000000000000015,0.06000000000000002,0.5653333333333332
0.5052631578947369,0.040000000000000015,0.06000000000000002,0.44266666666666654
0.5684210526315789,0.040000000000000015,0.06000000000000002,0.3386666666666666
0.631578947368421,0.040000000000000015,0.048000000000000015,0.040000000000000015
0.6947368421052632,0.040000000000000015,0.040000000000000015,0.040000000000000015
0.7578947368421053,0.040000000000000015,0.040000000000000015,0.040000000000000015
0.8210526315789474,0.040000000000000015,0.040000000000000015,0.040000000000000015
0.8842105263157896,0.040000000000000015,0.040000000000000015,0.040000000000000015
0.9473684210526316,0.040000000000000015,0.040000000000000015,0.040000000000000015
1.0105263157894737,0.040000000000000015,0.040000000000000015,0.040000000000000015
1.0736842105263158,0.040000000000000015,0.040000000000000015,0.040000000000000015
1.1368421052631579,0.040000000000000015,0.040000000000000015,0.040000000000000015
1.2,0.040000000000000015,0.040000000000000015,0.040000000000000015
