Alpha,degree,betweenness,closeness
0.0,1.0,0.7100829791540175,1.0
0.13333333333333333,0.9994009309856301,0.6435944140862172,0.9758996154624571
0.26666666666666666,0.951135397692775,0.45913782635094114,0.6720744788504353
0.4,0.4305201376239628,0.10763003440599067,0.11761181946974297
0.5333333333333333,0.011738514470754908,0.011997571341833636,0.01727585509006274
0.6666666666666666,0.010143695608176479,0.010248937462052214,0.01304189435336976
0.8,0.009949402954867433,0.009981785063752273,0.012831410645618295
0.9333333333333333,0.00991702084598259,0.009949402954867431,0.01269378668285772
1.0666666666666667,0.00991702084598259,0.009933211900425011,0.009965594009309853
1.2,0.00991702084598259,0.00991702084598259,0.009933211900425011
