alpha,CF_None,I_None,CF_localized_capacity_boost,I_localized_capacity_boost,CF_dynamic_load_redistribution,I_dynamic_load_redistribution,CF_controlled_failure_isolation,I_controlled_failure_isolation,CF_prevent_cascading_failure,I_prevent_cascading_failure
0.0,5.886672310220327e-06,0.5162517708965797,7.172260048350697e-06,0.48986035215543405,6.953592731687669e-05,0.050961343857518715,5.004778402579499e-05,0.0640963367739324,0.00020407474870134246,0.009836065573770491
0.024999999999999998,6.171384103794878e-06,0.5076502732240437,7.29421335908258e-06,0.4820279295689132,8.329679217101025e-05,0.027727180732645212,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.049999999999999996,6.877938706784551e-06,0.5011536126290225,7.134241377946935e-06,0.4846387370977535,9.09524352433107e-05,0.023618700667880996,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.075,1.272617158000646e-05,0.49392835458409223,1.3061929291599566e-05,0.4789516292248532,0.0001039837264352414,0.020198340416919654,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.09999999999999999,1.2772055562022377e-05,0.49419145921878166,1.3309355859596938e-05,0.4646427848613642,0.00010693470479583532,0.01951022060311678,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.12499999999999999,1.3342131629748429e-05,0.4925318761384334,1.391973968196044e-05,0.455838899008298,0.00011459639084840527,0.01805302570329893,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.15,1.343719725243922e-05,0.4745598057073466,1.4429799174432386e-05,0.4354584092289011,0.00012340505458075825,0.016656547257640156,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.175,1.713751168846961e-05,0.46500708358631854,1.917932160107599e-05,0.39965594009309857,0.0001285595045543409,0.015927949807731233,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.19999999999999998,1.7427555474973528e-05,0.45484719692369957,1.9697899766884786e-05,0.391337785873305,0.00013488792724358564,0.01515887472171625,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.22499999999999998,2.4396682952843606e-05,0.4166565472576401,2.7068673152261707e-05,0.35761991499696416,0.00014117642203585523,0.014490993725966402,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.24999999999999997,2.4708769959025883e-05,0.39508196721311467,2.7033322952424325e-05,0.3458814005262093,0.00014477736922906848,0.014106456182958915,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.27499999999999997,2.677063563940931e-05,0.358308034810767,2.7792414848370832e-05,0.3223031774944343,0.00014654673743822773,0.013904068002428657,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.3,2.7153140046983327e-05,0.3499696417729205,2.8080773559244454e-05,0.32475207447885046,0.00015375165850747125,0.01327666464278486,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.32499999999999996,6.723029168466902e-05,0.26059502125075895,6.922900855140532e-05,0.23351548269581052,0.00017173177793570484,0.011839708561020037,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.35,8.138411341297521e-05,0.23632867840518115,8.311118149464781e-05,0.22056263914187407,0.00017559979132656382,0.011515887472171625,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.37499999999999994,0.00011434083014561385,0.21884233960736693,0.0001144251207652327,0.19659987856709166,0.00017862532311008395,0.011333738109694394,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.39999999999999997,0.00015817228416673055,0.06184982797004653,0.00015823749846873854,0.054806719287593605,0.00018335662387685504,0.011030155838899009,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.425,0.0001614899698484789,0.04373608581258855,0.0001615235373565683,0.042076502732240444,0.00018719544409230175,0.0107872900222627,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.44999999999999996,0.00016331373381081184,0.040882412467111925,0.00016331780584039464,0.0407002631046347,0.00018914491749214558,0.01064561829589152,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.475,0.00016559211430496864,0.04130742764622547,0.00016585277204757328,0.03260473588342441,0.00019143522321579494,0.010524185387573366,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.49999999999999994,0.00017637667184972446,0.03954665047561223,0.0001763865659163359,0.03910139647844567,0.00019311205157269208,0.010422991297308237,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.5249999999999999,0.00017787087792365755,0.030520137623962766,0.00017762017216091795,0.03825136612021859,0.00019432737275479778,0.010362274843149161,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.5499999999999999,0.00017845448019984303,0.05470552519732848,0.00017845002422113682,0.05517101801254807,0.0001954122017084792,0.010301558388990084,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.575,0.0001791985904855241,0.05587937664440397,0.00017922375204268643,0.05328880793361668,0.00019616775017704122,0.010261080752884033,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
0.6,0.0001795945113227194,0.03343452742359847,0.0001800812432352844,0.024408014571948997,0.00019616775017704122,0.010261080752884033,0.00020407474870134246,0.009836065573770491,0.00020407474870134246,0.009836065573770491
